simulation_id,random_seed,n_agents,exposed_to_pollutant,exposed_to_pollutant_share,sim_duration,initially_infected,lowest_immunity,highest_immunity,mask_beta_penalty,mask_discipline_worst,mask_discipline_best,beta,e1,e2,t1,t2,pollutant_immunity_reduction,agent_class,scenario_name,infected_30d,exposed_30d,recovered_30d,infected_60d,exposed_60d,recovered_60d,infected_90d,exposed_90d,recovered_90d,infected_120d,exposed_120d,recovered_120d,infected_150d,exposed_150d,recovered_150d,infected_180d,exposed_180d,recovered_180d,infected_210d,exposed_210d,recovered_210d,infected_240d,exposed_240d,recovered_240d,infected_270d,exposed_270d,recovered_270d,infected_300d,exposed_300d,recovered_300d,infected_330d,exposed_330d,recovered_330d,infected_360d,exposed_360d,recovered_360d,max_infected,max_exposed,max_recovered,total_infected,total_exposed,total_recovered
2a37caa,3272,10000,2458,0.2458,365,6,0.3,0.9,0.25,0.0,0.75,0.09,5,10,14,21,0.1,SEIRNeighborsFSMExtended,SEIR Neighbors Scenario: Project Practice,327,559,39,1675,2108,769,3533,4049,2378,5554,6043,4403,7372,7785,6363,8800,9078,8064,9721,9810,9276,9942,9958,9857,9997,9991,9977,9997,9991,9997,9997,9991,9997,9997,9991,9997,1207,548,9997,9997,9991,9997
c68c942,3292,10000,2458,0.2458,365,10,0.2,0.6,0.25,0.0,0.75,0.01,5,10,14,21,0.1,SEIRNeighborsFSMExtended,SEIR Neighbors Scenario: Project Practice,41,54,15,160,191,77,389,452,243,669,739,514,1019,1099,808,1341,1405,1164,1618,1659,1458,1856,1914,1717,2120,2207,1958,2516,2619,2293,2956,3062,2694,3476,3609,3155,328,152,3234,3548,3689,3234
86583a3,3249,10000,2458,0.2458,365,8,0.3,0.9,0.25,0.0,0.75,0.17,5,10,14,21,0.3,SEIRNeighborsFSMExtended,SEIR Neighbors Scenario: Project Practice,823,1328,86,3680,4604,1771,7222,8018,5204,9331,9523,8433,9909,9967,9633,10000,9992,9988,10000,9992,10000,10000,9992,10000,10000,9992,10000,10000,9992,10000,10000,9992,10000,10000,9992,10000,2163,954,10000,10000,9992,10000
4d7d83d,3252,10000,2458,0.2458,365,8,0.2,0.9,0.25,0.0,0.75,0.25,5,10,14,21,0.1,SEIRNeighborsFSMExtended,SEIR Neighbors Scenario: Project Practice,856,1373,109,3701,4655,1821,7210,7786,5343,9015,9304,8128,9819,9900,9486,10000,9992,9945,10000,9992,10000,10000,9992,10000,10000,9992,10000,10000,9992,10000,10000,9992,10000,10000,9992,10000,2279,1013,10000,10000,9992,10000
18bee1e,3245,10000,2458,0.2458,365,6,0.3,0.6,0.5,0.0,0.75,0.17,5,10,14,21,0.2,SEIRNeighborsFSMExtended,SEIR Neighbors Scenario: Project Practice,622,963,95,2313,2821,1223,4448,4980,3166,6603,7005,5344,7840,8031,7217,8648,8806,8174,9244,9364,8910,9699,9775,9456,9959,9992,9826,10000,9994,10000,10000,9994,10000,10000,9994,10000,1304,597,10000,10000,9994,10000
c04d152,3246,10000,2458,0.2458,365,6,0.1,0.9,0.25,0.0,0.75,0.25,5,10,14,21,0.3,SEIRNeighborsFSMExtended,SEIR Neighbors Scenario: Project Practice,782,1297,111,3112,3785,1691,5947,6621,4287,8050,8391,7021,9257,9452,8608,9860,9930,9574,10000,9994,9955,10000,9994,10000,10000,9994,10000,10000,9994,10000,10000,9994,10000,10000,9994,10000,1688,742,10000,10000,9994,10000
dbb0ff3,3277,10000,2458,0.2458,365,6,0.3,0.9,0.5,0.0,0.75,0.09,5,10,14,21,0.1,SEIRNeighborsFSMExtended,SEIR Neighbors Scenario: Project Practice,283,487,41,1469,1904,661,3339,3843,2220,5446,5964,4214,7213,7549,6303,8449,8673,7764,9275,9415,8818,9706,9777,9486,9919,9934,9816,9999,9993,9966,9999,9993,9999,9999,9993,9999,1276,563,9999,9999,9993,9999
7c875e6,3278,10000,2458,0.2458,365,10,0.1,0.75,0.25,0.0,0.75,0.01,5,10,14,21,0.2,SEIRNeighborsFSMExtended,SEIR Neighbors Scenario: Project Practice,57,72,16,189,224,101,391,442,259,664,725,493,920,985,774,1182,1232,1041,1414,1457,1277,1639,1683,1502,1836,1884,1721,2078,2144,1940,2358,2422,2192,2673,2756,2489,198,99,2531,2725,2813,2531
1ba4b0a,3265,10000,2458,0.2458,365,8,0.1,0.6,0.25,0.0,0.75,0.17,5,10,14,21,0.2,SEIRNeighborsFSMExtended,SEIR Neighbors Scenario: Project Practice,893,1473,100,3406,4073,1921,6236,6775,4519,7916,8226,7063,8757,8880,8394,9255,9340,8978,9613,9674,9408,9875,9908,9724,9996,9992,9931,10000,9992,10000,10000,9992,10000,10000,9992,10000,1717,774,10000,10000,9992,10000
2948202,3274,10000,2458,0.2458,365,4,0.1,0.9,0.25,0.0,0.75,0.17,5,10,14,21,0.1,SEIRNeighborsFSMExtended,SEIR Neighbors Scenario: Project Practice,427,683,61,1820,2326,902,4009,4572,2695,6239,6787,4929,7849,8121,7067,8659,8803,8279,9194,9283,8901,9564,9645,9344,9852,9904,9699,10000,9996,9943,10000,9996,10000,10000,9996,10000,1341,598,10000,10000,9996,10000
